department,gender,count
Accounting,Male,1437
Accounting,Female,1234
Accounting,Non-Conforming,76
Auditing,Female,20
Auditing,Male,20
"Business Development",Male,705
"Business Development",Female,620
"Business Development",Non-Conforming,42
Engineering,Male,2790
Engineering,Female,2553
Engineering,Non-Conforming,158
"Human Resources",Female,707
"Human Resources",Male,753
"Human Resources",Non-Conforming,38
Legal,Male,128
Legal,Female,113
Legal,Non-Conforming,7
Marketing,Male,209
Marketing,Female,208
Marketing,Non-Conforming,5
"Product Management",Male,281
"Product Management",Female,233
"Product Management",Non-Conforming,13
"Research and Development",Female,422
"Research and Development",Male,422
"Research and Development",Non-Conforming,28
Sales,Male,773
Sales,Female,684
Sales,Non-Conforming,40
Services,Female,669
Services,Male,695
Services,Non-Conforming,29
Support,Male,393
Support,Non-Conforming,28
Support,Female,351
Training,Non-Conforming,38
Training,Male,722
Training,Female,641
