jobtitle,count(jobtitle)
"Research Assistant II",634
"Business Analyst",574
"Human Resources Analyst II",495
"Research Assistant I",434
"Account Executive",409
"Staff Accountant I",375
"Data Visualization Specialist",366
"Human Resources Analyst",338
"Software Engineer I",323
"Systems Administrator I",316
"Analyst Programmer",309
"Data Coordiator",290
"Senior Developer",290
"Business Systems Development Analyst",284
"Service Tech III",283
"Project Manager",278
"Service Tech II",276
"Help Desk Technician",276
"Service Manager",273
"Software Consultant",271
"Service Coordinator",271
"Service Tech",264
"Senior Cost Accountant",263
"Structural Engineer",261
"Desktop Support Technician",257
"Cost Accountant",255
"Tax Accountant",238
Recruiter,195
"Account Manager",193
Operator,185
"Solutions Engineer",179
"Senior Recruiter",175
"Relationshiop Manager",174
"Pre-Sales Consultant",173
"Solutions Engineer Manager",172
"Research Associate",171
"HR Manager",169
"Trainer I",162
"Customer Success Manager",161
"Administrative Assistant I",158
"Trainer II",156
"Training Manager",154
"Senior Trainer",153
"Assistant Trainer",148
"Trainer III",146
"Budget/Accounting Analyst IV",141
"Budget/Accounting Analyst II",139
"Junior Trainer",138
"Budget/Accounting Analyst III",132
"Budget/Accounting Analyst I",128
"Senior Editor",123
"Senior Quality Engineer",118
"Media Manager I",111
"Quality Control Specialist",109
"Support Staff",84
"Staff Accountant IV",84
"Software Engineer III",83
"Programmer Analyst I",82
"Web Developer I",82
"Staff Accountant III",82
"Programmer Analyst II",80
"Software Test Engineer IV",77
"Chief Design Engineer",77
"Accounting Assistant I",76
"Software Engineer IV",76
"Computer Systems Analyst II",75
"Software Engineer II",74
"Accountant III",74
"Systems Administrator III",74
"Database Administrator IV",74
"Accounting Assistant II",74
"Developer I",73
Editor,73
"Computer Systems Analyst I",73
"Help Desk Operator",73
"Database Administrator II",72
"Programmer I",72
"Accounting Assistant IV",72
"Accountant II",71
"Software Test Engineer I",71
"Accountant IV",71
"Programmer II",70
"Database Administrator III",69
"Programmer III",68
"Software Test Engineer III",68
"Staff Accountant II",68
"Web Developer II",68
"Programmer Analyst III",68
"Programmer Analyst IV",68
"Database Administrator I",66
"Systems Administrator IV",66
"Accountant I",65
"VP Accounting",65
"Accounting Assistant III",64
"Developer III",63
"Systems Administrator II",62
"Developer IV",62
"Computer Systems Analyst III",61
"Human Resources Manager",58
"Web Developer IV",58
"Software Test Engineer II",58
"Computer Systems Analyst IV",56
"Web Developer III",55
"Developer II",54
"Quality Engineer",53
"Financial Analyst",51
"Programmer IV",51
Paralegal,49
"Senior Financial Analyst",49
"Product Engineer",47
"Support Staff II",46
"Content Developer II",46
"Administrative Officer",46
"Content Developer III",45
"Design Engineer",44
"Media Manager II",43
"Content Developer",43
"Assistant Manager",41
"Internal Auditor",40
"Administrative Assistant II",38
"VP Marketing",38
"Analog Circuit Design manager",38
"Structural Analysis Engineer",38
"Senior Attorney",35
Attorney,35
"VP Quality Control",34
"VP Product Management",33
"Information Systems Manager",32
"Executive Assistant",32
"Research Assistant",31
"Administrative Assistant",29
"Automation Specialist II",28
"Staff Scientist",28
"Financial Advisor",27
"Web Designer I",27
"Compensation Analyst",26
"Electrical Engineer",24
"Automation Specialist I",23
"Community Outreach Specialist",23
Actuary,22
"General Manager",21
"Mechanical Systems Engineer",21
Librarian,20
"Recruiting Manager",19
"Support Staff III",17
"Automation Specialist IV",17
"Legal Assistant",17
"Payment Adjustment Coordinator",16
"Research Assistant III",15
"Human Resources Assistant III",14
"Administrative Assistant III",14
"Senior Sales Associate",12
"Automation Specialist III",11
"Human Resources Assistant IV",10
"Statistician II",10
"Human Resources Assistant II",10
"Human Resources Assistant I",10
"Web Designer III",10
"Statistician I",10
"Graphic Designer",9
"Marketing Assistant",8
"Director of Sales",8
"Research Assistant IV",7
"Web Designer IV",7
"Engineer I",7
"VP Sales",6
"Office Assistant I",6
"Administrative Assistant IV",6
"Business Development Manager",5
"Engineer III",5
"Sales Associate",5
"Engineer II",4
"Engineer IV",3
"Sales Representative",3
"Web Designer II",3
"Account Coordinator",2
"Statistician III",2
"Marketing Manager",1
"Associate Professor",1
"VP of Training and Development",1
"Office Assistant IV",1
"Assistant Professor",1
